reits,sector
VNQ,Index
ACC,Apts
AEC,Apts
AHP,Apts
AHT,Apts
AIV,Apts
AKR,Apts
AMH,Apts
ARE,Hotels
AVB,Hotels
BDN,Hotels
BFS,Hotels
BMR,Hotels
BXP,Hotels
CBL,Hotels
CDR,Hotels
CLI,Hotels
CPT,Other
CUBE,Other
CUZ,Other
CWH,Other
CXP,Other
DCT,Other
DDR,Other
DEI,Other
DFT,Other
DLR,Other
DRE,Other
DRH,Other
EDR,Other
EGP,Other
ELS,Other
EQR,Other
EQY,Other
ESS,Other
EXR,Other
FCH,Other
FPO,Other
FR,Other
FRT,Other
FSP,Other
GGP,Other
GRT,Other
HCN,Other
HCP,Other
HIW,Other
HME,Other
HPT,Other
HR,Other
HST,Other
HT,Other
IRC,Other
KIM,Other
KRC,Other
KRG,Other
LHO,Other
LPT,Other
LTC,Other
MAA,Other
MAC,Other
OFC,Other
PDM,Other
PEB,Other
PEI,Other
PKY,Other
PLD,Other
PPS,Other
PSA,Other
PSB,Other
REG,Other
RPT,Other
RSE,Other
SHO,Other
SKT,Other
SLG,Other
SNH,Other
SPG,Other
SSS,Other
SUI,Other
TCO,Other
UDR,Other
UHT,Other
VNO,Other
VTR,Other
WRE,Other
WRI,Other
