Tickers,Sector
ACC,APTS
AEC,APTS
AIV,APTS
APTS,APTS
BRE,APTS
BYA,APTS
CCG,APTS
CPT,APTS
EDR,APTS
EQR,APTS
ESS,APTS
GPT,APTS
GYRO,APTS
HME,APTS
MAA,APTS
PPS,APTS
RPI,APTS
SBY,APTS
TSRE,APTS
UDRT,APTS
ALX,FREESTANDING
ARCP,FREESTANDING
NNN,FREESTANDING
O,FREESTANDING
TIRE,FREESTANDING
HCN,HEALTHCARE
HCP,HEALTHCARE
HR,HEALTHCARE
LTC,HEALTHCARE
MPW,HEALTHCARE
NHI,HEALTHCARE
OHI,HEALTHCARE
SNH,HEALTHCARE
UHT,HEALTHCARE
VTR,HEALTHCARE
AHT,HOTEL
CHSP,HOTEL
CLDT,HOTEL
DRH,HOTEL
FLCO,HOTEL
HPT,HOTEL
HT,HOTEL
LHO,HOTEL
MHS,HOTEL
PEB,HOTEL
SHO,HOTEL
SLH,HOTEL
SOHO,HOTEL
SPPR,HOTEL
DCT,INDUSTRIAL
DLR,INDUSTRIAL
EGP,INDUSTRIAL
FPO,INDUSTRIAL
FR,INDUSTRIAL
MNRTA,INDUSTRIAL
PLD,INDUSTRIAL
STIR,INDUSTRIAL
TRNO,INDUSTRIAL
CBL,MALLS
GRT,MALLS
MAC,MALLS
SPG,MALLS
TCO,MALLS
ABR,MBS
AGNC,MBS
ANH,MBS
ARI,MBS
CIM,MBS
CLNY,MBS
CYS,MBS
EST,MBS
HTS,MBS
IVR,MBS
LMC,MBS
MFA,MBS
NCT,MBS
NLY,MBS
NRF,MBS
NYMT,MBS
PMT,MBS
RAS,MBS
RMR,MBS
RSO,MBS
RWTI,MBS
STAR,MBS
STWD,MBS
TWO,MBS
VRTA,MBS
VRTB,MBS
ARE,MIXED_BAG
BMR,MIXED_BAG
BRT,MIXED_BAG
CUZ,MIXED_BAG
DEI,MIXED_BAG
DFT,MIXED_BAG
DRE,MIXED_BAG
EPR,MIXED_BAG
FSP,MIXED_BAG
FUR,MIXED_BAG
GOOD,MIXED_BAG
HMG,MIXED_BAG
IRETS,MIXED_BAG
LRY,MIXED_BAG
LXP,MIXED_BAG
PCH,MIXED_BAG
PCL,MIXED_BAG
POWE,MIXED_BAG
PSM,MIXED_BAG
PW,MIXED_BAG
RYN,MIXED_BAG
VNO,MIXED_BAG
WRE,MIXED_BAG
BXP,OFFICE
CLI,OFFICE
GOV,OFFICE
HIW,OFFICE
HPP,OFFICE
KRC,OFFICE
LPO,OFFICE
PDM,OFFICE
PKY,OFFICE
RLIN,OFFICE
SLG,OFFICE
EXR,STORAGE
SSS,STORAGE
STOR,STORAGE
YSI,STORAGE
ADC,SHOPPINGCENTER
BFS,SHOPPINGCENTER
DDR,SHOPPINGCENTER
EQY,SHOPPINGCENTER
EXL,SHOPPINGCENTER
GGP,SHOPPINGCENTER
IRC,SHOPPINGCENTER
KIM,SHOPPINGCENTER
MCT,SHOPPINGCENTER
PEI,SHOPPINGCENTER
REG,SHOPPINGCENTER
ROIC,SHOPPINGCENTER
RPT,SHOPPINGCENTER
SKT,SHOPPINGCENTER
UBA,SHOPPINGCENTER
UNII,SHOPPINGCENTER
WRI,SHOPPINGCENTER
FRT,SHOPPINGCENTER
UBP,SHOPPINGCENTER
MHC,TRAILERPARK
SUI,TRAILERPARK
UMHI,TRAILERPARK
